TATACOFFEE,           Ratio_name Ratio_value company_name
10         asset_turn           0      FRETAIL
11          fs_margin           0      FRETAIL
KSB,           Ratio_name Ratio_value company_name
0       margin_growth    0.904343          KSB
1       margin_safety     5.41777          KSB
2             ROA_pos           1          KSB
3               fcfta           0          KSB
4         accrual_pos           1          KSB
5              fs_roa           0          KSB
6           f_accrual           0          KSB
7               lever           1          KSB
8              liquid           0          KSB
9   equity_repurchase           0          KSB
10         asset_turn           0          KSB
11          fs_margin           1          KSB
RAJESHEXPO,           Ratio_name Ratio_value company_name
0       margin_growth    0.956729   RAJESHEXPO
1       margin_safety     4.46002   RAJESHEXPO
2             ROA_pos           1   RAJESHEXPO
3               fcfta           0   RAJESHEXPO
4         accrual_pos           0   RAJESHEXPO
5              fs_roa           0   RAJESHEXPO
6           f_accrual           0   RAJESHEXPO
7               lever           1   RAJESHEXPO
8              liquid           0   RAJESHEXPO
9   equity_repurchase           0   RAJESHEXPO
10         asset_turn           1   RAJESHEXPO
11          fs_margin           0   RAJESHEXPO
THERMAX,           Ratio_name Ratio_value company_name
0       margin_growth    0.997256      THERMAX
1       margin_safety     5.29013      THERMAX
2             ROA_pos           1      THERMAX
3               fcfta           1      THERMAX
4         accrual_pos           1      THERMAX
5              fs_roa           0      THERMAX
6           f_accrual           1      THERMAX
7               lever           0      THERMAX
8              liquid           1      THERMAX
9   equity_repurchase           0      THERMAX
10         asset_turn           0      THERMAX
11          fs_margin           1      THERMAX
DBL,           Ratio_name Ratio_value company_name
0       margin_growth    0.861749          DBL
1       margin_safety     3.25073          DBL
2             ROA_pos           1          DBL
3               fcfta           0          DBL
4         accrual_pos           1          DBL
5              fs_roa           0          DBL
6           f_accrual           0          DBL
7               lever           0          DBL
8              liquid           1          DBL
9   equity_repurchase           0          DBL
10         asset_turn           0          DBL
11          fs_margin           0          DBL
DCAL,           Ratio_name Ratio_value company_name
0       margin_growth     1.05188         DCAL
1       margin_safety     2.58007         DCAL
2             ROA_pos           0         DCAL
3               fcfta           1         DCAL
4         accrual_pos           1         DCAL
5              fs_roa           0         DCAL
6           f_accrual           1         DCAL
7               lever           0         DCAL
8              liquid           0         DCAL
9   equity_repurchase           0         DCAL
10         asset_turn           0         DCAL
11          fs_margin           0         DCAL
PVR,           Ratio_name Ratio_value company_name
0       margin_growth    0.809793          PVR
1       margin_safety    0.383899          PVR
2             ROA_pos           0          PVR
3               fcfta           1          PVR
4         accrual_pos           1          PVR
5              fs_roa           0          PVR
6           f_accrual           1          PVR
7               lever           1          PVR
8              liquid           1          PVR
9   equity_repurchase           0          PVR
10         asset_turn           0          PVR
11          fs_margin           0          PVR
ASTERDM,           Ratio_name Ratio_value company_name
0       margin_growth    0.878352      ASTERDM
1       margin_safety     3.20119      ASTERDM
2             ROA_pos           1      ASTERDM
3               fcfta           1      ASTERDM
4         accrual_pos           1      ASTERDM
5              fs_roa           0      ASTERDM
6           f_accrual           1      ASTERDM
7               lever           1      ASTERDM
8              liquid           0      ASTERDM
9   equity_repurchase           0      ASTERDM
10         asset_turn           0      ASTERDM
11          fs_margin           0      ASTERDM
NMDC,           Ratio_name Ratio_value company_name
0       margin_growth    0.925924         NMDC
1       margin_safety     1.57673         NMDC
2             ROA_pos           1         NMDC
3               fcfta           1         NMDC
4         accrual_pos           1         NMDC
5              fs_roa           1         NMDC
6           f_accrual           0         NMDC
7               lever           0         NMDC
8              liquid           1         NMDC
9   equity_repurchase           0         NMDC
10         asset_turn           0         NMDC
11          fs_margin           1         NMDC
VAIBHAVGBL,           Ratio_name Ratio_value company_name
0       margin_growth    0.891313   VAIBHAVGBL
1       margin_safety     1.23702   VAIBHAVGBL
2             ROA_pos           1   VAIBHAVGBL
3               fcfta           1   VAIBHAVGBL
4         accrual_pos           1   VAIBHAVGBL
5              fs_roa           1   VAIBHAVGBL
6           f_accrual           0   VAIBHAVGBL
7               lever           1   VAIBHAVGBL
8              liquid           1   VAIBHAVGBL
9   equity_repurchase           0   VAIBHAVGBL
10         asset_turn           0   VAIBHAVGBL
11          fs_margin           1   VAIBHAVGBL
GRANULES,           Ratio_name Ratio_value company_name
0       margin_growth    0.821573     GRANULES
1       margin_safety     4.40375     GRANULES
2             ROA_pos           1     GRANULES
3               fcfta           0     GRANULES
4         accrual_pos           0     GRANULES
5              fs_roa           1     GRANULES
6           f_accrual           0     GRANULES
7               lever           1     GRANULES
8              liquid           0     GRANULES
9   equity_repurchase           1     GRANULES
10         asset_turn           0     GRANULES
11          fs_margin           1     GRANULES
TATAELXSI,           Ratio_name Ratio_value company_name
0       margin_growth    0.904462    TATAELXSI
1       margin_safety     2.96387    TATAELXSI
2             ROA_pos           1    TATAELXSI
3               fcfta           0    TATAELXSI
4         accrual_pos           0    TATAELXSI
